time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel
0,2.982844806,-83.23164829,42.31933526,72.51148224,-0.775,-0.1015625,0.781640476,0.719921875
0.1,1.282309955,-83.23164706,42.31933604,72.51148224,-0.776197922,-0.100182292,0.782655287,0.72890625
0.2,0.197611834,-83.2316466,42.3193364,72.51148224,-0.774388027,-0.102057292,0.781101507,0.724609375
0.3,0.188077888,-83.2316466,42.3193364,72.51148224,-0.774726564,-0.102630208,0.781538671,0.727734375
0.4,0.196819255,-83.2316466,42.3193364,72.51148224,-0.775950527,-0.106028646,0.783449769,0.736328125
0.5,0.204875119,-83.2316466,42.3193364,72.51148224,-0.778125,-0.10078125,0.785885143,0.72421875
0.6,0.197815362,-83.2316466,42.3193364,72.51148224,-0.779804683,-0.095442708,0.786908001,0.7109375
0.7,0.194723542,-83.2316466,42.3193364,70.78599548,-0.78011719,-0.096419272,0.787120163,0.716796875
0.8,0.1862132,-83.2316466,42.3193364,70.78599548,-0.779270834,-0.10201823,0.786050105,0.73671875
0.9,0.18284429,-83.2316466,42.3193364,70.78599548,-0.780117196,-0.107473959,0.787521076,0.7234375
1,0.181750646,-83.2316466,42.3193364,70.78599548,-0.784218752,-0.105651042,0.791330069,0.720703125
1.1,0.158481655,-83.2316466,42.3193364,76.29625702,-0.787382811,-0.100989583,0.793910778,0.709765625
1.2,0.124728746,-83.2316466,42.3193364,76.29625702,-0.789375001,-0.099882812,0.795754403,0.709765625
1.3,0.10245839,-83.2316466,42.3193364,76.29625702,-0.787890637,-0.097721354,0.793997002,0.71171875
1.4,0.073273725,-83.2316466,42.3193364,76.29625702,-0.787200516,-0.101458333,0.793750495,0.715625
1.5,0.05094808,-83.2316466,42.3193364,80.83068085,-0.78388021,-0.10501302,0.790935636,0.710546875
1.6,0.037634999,-83.2316466,42.3193364,80.83068085,-0.780364585,-0.111093751,0.788302785,0.722265625
1.7,0.033747911,-83.2316466,42.3193364,80.83068085,-0.777096361,-0.116588542,0.785818315,0.728125
1.8,0.031802607,-83.2316466,42.3193364,80.83068085,-0.774843752,-0.11641927,0.78356874,0.725
1.9,0.028863775,-83.2316466,42.3193364,82.03400421,-0.772890615,-0.117591146,0.781818664,0.727734375
2,0.03192249,-83.2316466,42.3193364,82.03400421,-0.771497393,-0.118684895,0.780605358,0.73359375
2.1,0.033952916,-83.2316466,42.3193364,82.03400421,-0.770624989,-0.120520832,0.780009723,0.7296875
2.2,0.033710878,-83.2316466,42.3193364,82.03400421,-0.770052093,-0.12170573,0.779629117,0.725
2.3,0.023086648,-83.2316466,42.3193364,83.20391083,-0.770156246,-0.122851563,0.779909182,0.733203125
2.4,0.011340059,-83.2316466,42.3193364,83.20391083,-0.769114572,-0.124309896,0.779106945,0.730859375
2.5,0.000272296,-83.2316466,42.3193364,83.20391083,-0.769075513,-0.125026041,0.779184043,0.728515625
2.6,0,-83.2316466,42.3193364,83.20391083,-0.767356765,-0.124622395,0.777428502,0.7359375
2.7,0,-83.2316466,42.3193364,73.42172241,-0.768229169,-0.125247397,0.778394955,0.73515625
2.8,0,-83.2316466,42.3193364,73.42172241,-0.768111986,-0.125221352,0.778275579,0.73046875
2.9,0,-83.2316466,42.3193364,73.42172241,-0.768411469,-0.126302083,0.778737146,0.73046875
3,0,-83.2316466,42.3193364,73.42172241,-0.768593752,-0.127421875,0.779091191,0.734375
3.1,0,-83.2316466,42.3193364,70.26364899,-0.768203133,-0.128190106,0.778833067,0.73046875
3.2,0,-83.2316466,42.3193364,70.26364899,-0.769335938,-0.129036458,0.780090439,0.73046875
3.3,0,-83.2316466,42.3193364,70.26364899,-0.769973969,-0.12765625,0.780495149,0.73125
3.4,0,-83.2316466,42.3193364,70.26364899,-0.770976561,-0.125937498,0.781200331,0.7265625
3.5,0,-83.2316466,42.3193364,72.60057068,-0.771523434,-0.125091144,0.781600726,0.72578125
3.6,0,-83.2316466,42.3193364,72.60057068,-0.770963556,-0.124765624,0.781004912,0.729296875
3.7,0,-83.2316466,42.3193364,72.60057068,-0.770481777,-0.125716148,0.780685365,0.726953125
3.8,0,-83.2316466,42.3193364,72.60057068,-0.770286465,-0.125872399,0.780517578,0.729296875
3.9,0,-83.2316466,42.3193364,77.55763245,-0.770065105,-0.127252604,0.780514133,0.730859375
4,0,-83.2316466,42.3193364,77.55763245,-0.770039076,-0.127799481,0.780578804,0.73046875
4.1,0,-83.2316466,42.3193364,77.55763245,-0.769609386,-0.128619792,0.780289668,0.7296875
4.2,0,-83.2316466,42.3193364,77.55763245,-0.769921881,-0.128984374,0.780656677,0.730078125
4.3,0,-83.2316466,42.3193364,74.25785828,-0.769661462,-0.129036458,0.780408031,0.730859375
4.4,0,-83.2316466,42.3193364,74.25785828,-0.770026058,-0.130182293,0.780956101,0.72890625
4.5,0,-83.2316466,42.3193364,74.25785828,-0.770195317,-0.130859375,0.781235504,0.73203125
4.6,0,-83.2316466,42.3193364,74.25785828,-0.770546877,-0.132265624,0.781821853,0.72578125
4.7,0,-83.2316466,42.3193364,69.24880219,-0.770208335,-0.133437499,0.781693631,0.73203125
4.8,0,-83.2316466,42.3193364,69.24880219,-0.770963526,-0.130221355,0.78193633,0.72578125
4.9,0,-83.2316466,42.3193364,69.24880219,-0.775026047,-0.122252604,0.784933847,0.72734375
5,0,-83.2316466,42.3193364,69.24880219,-0.766705728,-0.113072918,0.775312799,0.688671875
5.1,0,-83.2316466,42.3193364,61.88298416,-0.756770837,-0.109921875,0.765019667,0.758203125
5.2,0,-83.2316466,42.3193364,61.88298416,-0.745885414,-0.108697917,0.753855151,0.78515625
5.3,0,-83.2316466,42.3193364,61.88298416,-0.744713539,-0.112877604,0.753282142,0.739453125
5.4,0,-83.2316466,42.3193364,61.88298416,-0.744518238,-0.115468749,0.753470057,0.7640625
5.5,0,-83.2316466,42.3193364,59.78198242,-0.741119796,-0.121757814,0.751073855,0.756640625
5.6,0,-83.2316466,42.3193364,59.78198242,-0.739817697,-0.122851563,0.74996931,0.758203125
5.7,0,-83.2316466,42.3193364,59.78198242,-0.731731772,-0.126354166,0.742699218,0.74453125
5.8,0,-83.2316466,42.3193364,59.78198242,-0.724257809,-0.131041667,0.736239487,0.78515625
5.9,0,-83.2316466,42.3193364,55.08403015,-0.720364583,-0.133710937,0.732861435,0.794921875
6,0,-83.2316466,42.3193364,55.08403015,-0.722317702,-0.135390624,0.734975374,0.766796875
6.1,0,-83.2316466,42.3193364,55.08403015,-0.72464844,-0.135416667,0.737217957,0.771875
6.2,0,-83.2316466,42.3193364,55.08403015,-0.724023438,-0.134843749,0.736514956,0.776953125
6.3,0,-83.2316466,42.3193364,50.12521362,-0.736523443,-0.122734375,0.747139734,0.77890625
6.4,0,-83.2316466,42.3193364,50.12521362,-0.755091143,-0.097864584,0.762254083,0.744140625
6.5,0,-83.2316466,42.3193364,50.12521362,-0.763945305,-0.086276041,0.769315529,0.722265625
6.6,0,-83.2316466,42.3193364,50.12521362,-0.758789063,-0.096458333,0.765602386,0.73515625
6.7,0,-83.2316466,42.3193364,44.12913132,-0.748476565,-0.111041667,0.756944227,0.766796875
6.8,0,-83.2316466,42.3193364,44.12913132,-0.747955734,-0.113541666,0.756690013,0.752734375
6.9,0,-83.2316466,42.3193364,44.12913132,-0.747682291,-0.108320311,0.755562949,0.7484375
7,0,-83.2316466,42.3193364,44.12913132,-0.74666667,-0.109908853,0.754762125,0.75546875
7.1,0,-83.2316466,42.3193364,41.62752914,-0.746054691,-0.111354166,0.754347903,0.76171875
7.2,0,-83.2316466,42.3193364,41.62752914,-0.746380222,-0.110729167,0.754571003,0.75
