time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,hr,scl,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
0,1.095357406,-83.23168336,42.32022324,104.1286621,-0.363671875,-0.033203125,0.365204334,0.965234375,94.06288646,131.7824949,0,0,0,0,1
0.1,1.076522958,-83.2316828,42.3202234,104.1286621,-0.365403649,-0.027291667,0.366462612,0.97421875,99.78396846,131.7751173,0,0,0,0,1
0.2,1.065060282,-83.23168227,42.32022357,104.1286621,-0.366171879,-0.024492187,0.36714462,0.978125,103.8774878,131.812239,0,0,0,0,1
0.3,1.044533288,-83.23168175,42.32022376,100.8557434,-0.370117188,-0.017161458,0.370678189,0.96640625,106.3589333,131.8075645,0,0,0,0,1
0.4,1.00503214,-83.23168126,42.32022398,100.8557434,-0.372552085,-0.009036458,0.372742185,0.970703125,107.334475,131.6977142,0,0,0,0,1
0.5,0.949149567,-83.2316808,42.32022419,93.94593811,-0.375455731,0.002317708,0.375823382,0.98359375,106.9892698,131.522857,0,0,0,0,1
0.6,0.884487528,-83.23168036,42.32022439,93.94593811,-0.379934901,0.024049479,0.381731552,0.96953125,105.5704615,131.1989665,0,0,0,0,1
0.7,0.788659322,-83.23167996,42.32022458,82.9414978,-0.387161458,0.047695313,0.390810689,0.94296875,103.3663657,130.7407946,0,0,0,0,1
0.8,0.662813485,-83.23167958,42.32022473,82.9414978,-0.39290365,0.057356771,0.397388583,0.941796875,100.6836042,130.0559049,0,0,0,0,1
0.9,0.515651375,-83.2316793,42.3202248,80.1024704,-0.39035157,0.053007812,0.394173026,0.956640625,97.82406921,129.1716899,0,0,0,0,1
1,0.350674069,-83.2316793,42.3202248,80.1024704,-0.389101562,0.046445312,0.391976216,0.9734375,95.06355547,128.0999066,0,0,0,0,1
1.1,0.164657445,-83.2316793,42.3202248,81.82190704,-0.38613281,0.044583333,0.388720492,0.952734375,92.59539605,127.0471509,0,0,0,0,1
1.2,0.009673877,-83.2316793,42.3202248,81.82190704,-0.388424477,0.041041667,0.390659323,0.960546875,90.62610272,126.0773971,0,0,0,0,1
1.3,0,-83.2316793,42.3202248,76.76287079,-0.388398436,0.036341146,0.390173179,0.961328125,89.26892849,125.1184994,0,0,0,0,1
1.4,0,-83.2316793,42.3202248,76.76287079,-0.392565104,0.030390625,0.393983781,0.960546875,88.57052712,124.2627519,0,0,0,0,1
1.5,0,-83.2316793,42.3202248,67.34906006,-0.404466149,0.013958333,0.405605909,0.932421875,88.51384422,123.3816501,0,0,0,0,1
1.6,0,-83.2316793,42.3202248,67.34906006,-0.406783858,0.000182292,0.407699516,1.034375,89.02588601,122.5966721,0,0,0,0,1
1.7,0,-83.2316793,42.3202248,63.27117157,-0.37954427,-0.003359375,0.380486199,1,89.98941393,121.8632308,0,0,0,0,1
1.8,0,-83.2316793,42.3202248,63.27117157,-0.331979162,-0.023424479,0.337890089,0.87265625,91.25733713,121.2379639,0,0,0,0,1
